clause_id,clause_type,clause_text,risk_score,severity,rule_hits
1.1,Other,"You shall be employed as Chief Financial Officer (CFO), and you will provide services to and take direction from the Company. You will be responsible for the duties and obligations consistent with your position, which will be subject to the control of the Company and may change from time to time at the sole discretion of the CEO (the ""Services""). You will devote your full time and best efforts to the performance of your duties for the Company. While employed by the Company, except as may otherwise be approved by the Board of Directors you shall not perform work on behalf of, or provide services to, third parties, whether as an employee, director, consultant, advisor, or otherwise, and you shall not engage in any other activities that conflict with your obligations to the Company.",,,
2.1,Payment,"As full and complete consideration for the Services provided herein by you, and on the condition that you fully and faithfully perform the Services, duties and obligations required to be performed hereunder, and that you are not in breach of this Agreement, the Company shall pay you a base salary at the annual rate of Three hundred thousand Dollars ($300,000) gross, per annum (prorated for partial years), payable in accordance with the Company’s payroll practices and subject to customary tax withholdings and deductions.",,,
3.1,Payment,"The Company may, in its sole discretion, award to you a discretionary bonus (the ""Bonus"") each financial year based on the Company’s overall performance and subject to customary tax withholdings and deductions. Payment of the Bonus, if any, and the amount, is in the Company’s sole discretion. The Company shall pay you such Bonus (if earned) following the end of the financial year for which it is earned; if you must be actively employed by the Company and in good standing on the date such Bonus is to be paid to you to receive it.",,,
4.1,Other,"Subject to the approval of the Board of Directors of the Company, the Company will grant to you, as of the earliest date upon which future grants are made to other employees of the Company (the ""Grant Date""), an option to purchase shares of the Company’s common stock in an amount to be determined by the Board commensurate with your role (the ""Option"") in accordance with the Company’s [2017 Equity Incentive Plan] as it may be amended or restated or replaced (the ""Plan""); provided that you must be an employee in good standing with the Company on the Grant Date in order to receive the Option.",,,
5.1,Other,"If you are eligible, you may participate in the Company’s non-equity employee benefit plans or programs, subject to the terms of such plan or program and Company policy. However, nothing herein requires the Company to keep such plan or arrangement in place, or continue any such plan or arrangement, and the Company may modify, amend, or terminate such plan or program at any time in its sole discretion.",,,
6.1,Payment,"The Company will reimburse you for reasonable, pre-approved business expenses in accordance with Company policy. Such expenses shall be paid for by the Company if they are incurred by you while performing the Services, consistent with the Company’s policies regarding business expenses, and supported by documentation submitted by you in a timely manner.",,,
7.1,Other,"Vacation. You shall be entitled to vacation time in accordance with Company policy, which shall not contravene any rights provided by applicable law.",,,
8.1,Confidentiality,"You acknowledge that during your employment with the Company you will have access to the Company’s confidential information, including, but not limited to, the Company’s proprietary information, intellectual property, research, customer lists, supplier lists, product pricing methods, price lists and know-how. You agree not to disclose any of the Company’s confidential information without the Company’s written consent.",,,
9.1,Termination,"Although your employment with the company started prior to this agreement, this agreement shall commence on June 1, 2024 (the ""Start Date""), and is terminable ""at will,"" which means you or the Company may terminate your employment with or without Cause, notice, or Good Reason at any time, subject to Paragraph 10 below; provided, however, that you agree to provide the Company with at least thirty (30) days advance written notice of your intent to terminate employment.",,,
10.1,Termination,"In the event that the Company terminates your employment for Cause, or you resign without Good Reason, you will be entitled to receive: (i) your Base Salary through the date of termination to the extent not yet paid to you; (ii) any unreimbursed business expenses payable to you in accordance with Company policy; and (iii) such employee benefits, if any, to which you may be entitled under the Company’s employee benefit plans and programs as of your termination date (items (i) through (iii) being the ""Accrued Amounts"").",,,
10.2,Termination,"If the Company terminates your employment without Cause, or you terminate your employment for Good Reason, in addition to the Accrued Amounts, the Company will pay you severance in the form of: 10.2.1 salary continuation (the ""Salary Continuation"") at your then base salary rate, payable in accordance with the Company’s normal payroll practices, from the termination date through the twelve (12) month anniversary of the termination date (the ""Severance Period""); plus 10.2.2 a pro-rated bonus for the year of termination as determined by the Board of Directors equal to: (1) the Bonus you would have received pursuant to Paragraph 3 for the year of termination, had you remained employed through such Bonus’ payment date, multiplied by (2) a fraction, the numerator of which is the number of days you were employed by the Company in the year of termination and the denominator being 365;",,,
