clause_id,clause_type,clause_text,risk_score,severity,rule_hits
2.1,Payment,"Section 4 of the SaaS Agreement shall be amended by deletion of the reference and elimination of the obligation in subsection (a) and (b) thereof and elsewhere throughout the SaaS Agreement relating to Brag's payment to EVEMeta of the difference between the actual price at which EVEMeta sells the shares of Brag Common Stock issued to it under the SaaS Agreement and the Target Sale Price of $4.00 per share, it being expressly understood that Brag shall have no such obligation following the Amendment Date with respect to any sale of Brag Common Stock by EVEMeta.",,,
2.2,Payment,"Notwithstanding the foregoing, in consideration for the elimination of the $4.00 per share guarantee, Brag agrees to pay EVEMeta $25,000 within five business days of signing this Amendment.",,,
3.1,Other,It is expressly understood that EVEMeta's relationship with Brag remains that of an independent contractor.,,,
4.1,Other,"This Amendment is made with EVEMeta in reliance upon EVEMeta's representation to Brag, which, by execution hereof, EVEMeta hereby confirms that the Stock Consideration issued to EVEMeta has been acquired by EVEMeta for EVEMeta's own account, not as a nominee or agent, and not with a view to the resale or distribution of any part thereof.",,,
4.3,Other,EVEMeta is an 'accredited investor' as such term is defined in Rule 501 promulgated under the Securities Act.,,,
4.4,Other,The Stock Consideration may only be disposed of in compliance with state and federal securities Laws.,,,
4.5,Other,"EVEMeta acknowledges that the following legend will remain on each certificate, if certificated, of each share of Brag Common Stock forming any part of the Stock Consideration until such shares of Brag Common Stock are eligible for sale without restriction and without compliance with the volume, manner of sale, current public information, or filing of Form 144 requirements under Rule 144 promulgated under the Securities Act of 1933, as amended",,,
5.1,Termination,"This Amendment shall be effective as of the Amendment Date and, unless terminated earlier pursuant to any hereof or under the provisions of the SaaS Agreement, will continue in effect as provided under the SaaS Agreement.",,,
6.1,Assignment,This Amendment shall be binding upon and inure to the benefit of the parties hereto and their respective successors and permitted assigns.,,,
6.2,Assignment,"Neither party may assign this Amendment or any of its rights, interests, or obligations hereunder without the prior written approval of the other party hereto.",,,
8.1,Governing Law,"This Amendment will be governed, construed, and enforced in accordance with the Laws of the State of Delaware without giving effect to any choice or conflict of law provision or rule that would require or permit the application of the Laws of any jurisdiction other than those of the State of Delaware.",,,
8.2,Dispute Resolution,"Any legal suit, action, or proceeding arising out of or related to this Amendment shall be instituted exclusively in the federal courts of the United States or the courts of the State of Delaware in each case located in the city of Wilmington and county of New Castle.",,,
8.3,Dispute Resolution,"To the extent permitted by applicable Law, each Party hereby waives and agrees not to assert, by way of motion, as a defense or otherwise, in any action under this Amendment, any claim that it is not personally subject to the jurisdiction of the above-named courts",,,
8.4,Dispute Resolution,Each Party irrevocably and unconditionally waives any right it may have to a trial by jury in respect of any legal action arising out of or relating to this Amendment or the transactions contemplated hereby.,,,
9.1,Other,"No action, delay, or failure to act by a Party shall constitute a waiver of any right of that Party under this Amendment except as specifically agreed to in writing and signed by an authorized signatory of the Party providing the waiver.",,,
10.1,Other,"Should any provision of this Amendment become or be held to be legally unenforceable, no other provision of this Amendment shall be affected, and this Amendment shall be construed as if the Amendment had never included the unenforceable provision.",,,
11.1,Other,"Except as stated otherwise, the rights and remedies herein provided are cumulative and not exclusive of any rights or remedies provided to the Parties in equity or by Law.",,,
12.1,Other,"This Amendment, together with the SaaS Agreement and that certain Master Services Agreement, dated as of November 13, 2024, constitute the entire agreement between the Parties relating to the subject matter hereof and supersedes any prior or contemporaneous negotiations or agreements, whether oral or written, related to this subject matter.",,,
